source page,source page title,Name,Rating,Review,Date,
https://nz.trustpilot.com/review/www.vodafone.co.nz,Vodafone Reviews | Read Customer Service Reviews of www.vodafone.co.nz,Wade Kimpton,https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg,"If I could give them zero stars I would. Literally the most uncaring, inept business in NZ. They have Literally stole money from me. I took out phone insure on a phone I brought from the US, vodafone was aware of this and still sold me Phone Insure, when it came time to collect told me it wasn't their problem it was Chubbs issue, Chubb said Vodafone shouldn't have accepted payment.Outcome, over a year of paying for insurance i can't use and won't be refunded.Imagine if I didn't pay my bill. Disgusting behavior from a NZ company.",Date of experience: 07 August 2023,
https://nz.trustpilot.com/review/www.vodafone.co.nz?page=2,Vodafone Reviews | Read Customer Service Reviews of www.vodafone.co.nz | 2 of 32,Private,https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg,I can’t be bothered going into detail but this company is a red flag I’ve been fighting for money they owe now for 3 months they just like to mess with your head PLEASE anyone thinking of joining think twice read reviews I give them a big fat 0,Date of experience: 27 April 2023,
https://nz.trustpilot.com/review/www.vodafone.co.nz?page=3,Vodafone Reviews | Read Customer Service Reviews of www.vodafone.co.nz | 3 of 32,Munckinontour,https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg,"I wish these reviews were better communicated online. Vodafone really is the worst in every aspect of customer service. Impossible to speak to anyone, impossible to get issues resolved. I could go on about my frustrations in detail. You will waste a huge amount of your valuable time being with Vodafone. Put simply NEVER USE VODAFONE.",Date of experience: 23 July 2022,
https://nz.trustpilot.com/review/www.vodafone.co.nz?page=4,Vodafone Reviews | Read Customer Service Reviews of www.vodafone.co.nz | 4 of 32,Jim Waite,https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg,"My wife and I arrived in NZ during covid pandemic. We arrived at the MIQ hotel in Auckland city. We didn't have a NZ sim card so were given a Vodafone sim.We attempted to activate it by phone and it didn't work. We phoned the 777 number but were kept waiting for 30 minutes before we hung up.We won't activate it and will only use to receive sms. We will go with another more reliable company.Vodafone, you didn't lose two customers, you lost two prospective customers.",Date of experience: 16 December 2021,
https://nz.trustpilot.com/review/www.vodafone.co.nz?page=5,Vodafone Reviews | Read Customer Service Reviews of www.vodafone.co.nz | 5 of 32,August Du,https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg,"Don't recommend this business for several reasons. 1) their packages are pricy. For the same broadband Fiber 100, they sell $80 while some other companies sell Fibre 300 at $79 with 4 months free. They won't show you the package on your invoice so you won't know it. 2) They charge you a late payment fee ($16+GST)while at the same time they stop your internet until they receive your payment. 3)the customer service is inconsistent as they outsource that to some other countries. Always took long time to sort out the issues. 4) The App really sucks and confusing. 5) No way/Hard to check your own account online. Needs a lot of information but has no idea of where to find them. Very confusing. Never seen a business doing service like this.",Date of experience: 11 April 2022,
https://nz.trustpilot.com/review/www.vodafone.co.nz?page=6,Vodafone Reviews | Read Customer Service Reviews of www.vodafone.co.nz | 6 of 32,Charly Smith,https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg,"Wish I never moved to Vodafone, internet is so slow I can’t even watch videos or take a video call with on my data. Might as well not have any data at all how slow it is",Date of experience: 16 May 2023,
https://nz.trustpilot.com/review/www.vodafone.co.nz?page=7,Vodafone Reviews | Read Customer Service Reviews of www.vodafone.co.nz | 7 of 32,Gill,https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg,"Wednesday went into Vodafone Rotorua I was apprehensive as the Tauranga Crossing store staff are rude , patronising and completely disinterested in helping even though I have been with Vodafone for years . The difference in the Rotorua store was incredible I ended up being helped by three different young men who went above and beyond. I also noticed they treated other customers with the same delightful manner .Thank you Rotorua vodafone you should go to Tauranga and teach them some customer skills👍",Date of experience: 08 May 2022,
https://nz.trustpilot.com/review/www.vodafone.co.nz?page=8,Vodafone Reviews | Read Customer Service Reviews of www.vodafone.co.nz | 8 of 32,Sonya D,https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg,"Pathetic service! You would just go in circles with your problems.I signed up recently for my broadband, then they haven't sent me the bill through (yes, they had my mobile number and yet I was not contacted) plus they must have the wrong email entered.Called back, was told 3 different things by 3 different people, no result.I paid in full even whatever was not due, they said you have to wait for 24 hrs. However, a person earlier said, he will do it straight away!Lot's of people said, don't chose Vodafone yet I did! Should have listened! Worst service ever",Date of experience: 24 May 2022,
https://nz.trustpilot.com/review/www.vodafone.co.nz?page=9,Vodafone Reviews | Read Customer Service Reviews of www.vodafone.co.nz | 9 of 32,Candycane,https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg,Very trash coulden't even watch the Superbowl because the wifi kept disconnecting and I can't even connect to the 2nd network they gave us this service sucks!,Date of experience: 14 February 2022,
https://nz.trustpilot.com/review/www.vodafone.co.nz?page=10,Vodafone Reviews | Read Customer Service Reviews of www.vodafone.co.nz | 10 of 32,David Leegwater,https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg,"Another fake Shalini duvvuruFake person leaving a fake review, Vodafone is trash",Date of experience: 27 August 2021,
https://nz.trustpilot.com/review/www.vodafone.co.nz?page=11,Vodafone Reviews | Read Customer Service Reviews of www.vodafone.co.nz | 11 of 32,Patricia,https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg,"After months of problems with Vodafone TV, and several on-line and phone discussions, it stopped working altogether.  A helpful call centre person said he'd send me a new box if I signed up for 12 months.  Declined to do that and insisted I be issued with a device that provides the service I'm paying for.  New box received the next day and was told I would get a credit on my next bill for loss of service.  Instead on my next bill I got a charge of $27.93 for other calls and services"" on my home phone: Quantity 12"," Mins 117.14.  After an hour on the phone told this was a 7 minute call to an 0900 number for a Clairvoyant service!!!! Challenged the charge as erroneous and still waiting for that call back from a supervisor.  Need to summon up the energy to waste more of my time on yet another call.""",Date of experience: 29 July 2021
https://nz.trustpilot.com/review/www.vodafone.co.nz?page=12,Vodafone Reviews | Read Customer Service Reviews of www.vodafone.co.nz | 12 of 32,Shahzad Syed,https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg,Terrible network coverage and absolutely atrocious customer service with guaranteed hidden charges. For all researching please please do yourself a favor and literally chose ANY other provider.I sincerely did not want to give then 1 star but you can't write a review without clicking a star. I have lived in nz for 15 years and have yet to meet a happy Vodafone customer.  This is in addition to my own experiences listed above. Usually I forget about these things but gosh they deserve this review  Make your life simple...chose 2 degrees,Date of experience: 28 April 2021,
https://nz.trustpilot.com/review/www.vodafone.co.nz?page=13,Vodafone Reviews | Read Customer Service Reviews of www.vodafone.co.nz | 13 of 32,dennis,https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg,"this is Bull patties ,get out of voda .30 +years loyal to them. because i pay bill 1 day early by mistake ,not late but  early .they rip u off .8+ hours on ph still  no outcome. they ring u back for 1 sec hang up ,send tex to say they tried to call (bull patties) ,they make u ring back ,2 hours + on hold .not to mention get hung up. repeat ring them for hours.  WHAT A F'n JOKEBy the way, this if my first time in my 50year .to complain regards to any provider .NOW I HAVE MENTAL HELF PROBLEM ,because of them.",Date of experience: 18 March 2021,
https://nz.trustpilot.com/review/www.vodafone.co.nz?page=14,Vodafone Reviews | Read Customer Service Reviews of www.vodafone.co.nz | 14 of 32,Rob King,https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg,"Crap, poor online service, unable to complete transactions.... Still.",Date of experience: 07 February 2021,
https://nz.trustpilot.com/review/www.vodafone.co.nz?page=15,Vodafone Reviews | Read Customer Service Reviews of www.vodafone.co.nz | 15 of 32,Sophie r,https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg,Westfield Newmarket staff very rude and unhelpful.Sat waiting for customer service for 40 minutes while staff did not say one word to me. Would have been okay to wait but no one even came upto me and said we’ll be with you in a minute. Extremely rude and unhelpful. Will be changing providers immediately and not purchasing another item,Date of experience: 15 November 2020,
https://nz.trustpilot.com/review/www.vodafone.co.nz?page=16,Vodafone Reviews | Read Customer Service Reviews of www.vodafone.co.nz | 16 of 32,Abby Walker,https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg,"Celebrating as finally, after 3 years I have managed to get a simple account closure/transfer and refund back for mistaken billing sorted out and returned to me. At least I assume now that I have been able to submit a refund request it will actually be sent. Although I thought when I asked them to close my account 3 years ago, they'd do that too.",Date of experience: 31 August 2020,
https://nz.trustpilot.com/review/www.vodafone.co.nz?page=17,Vodafone Reviews | Read Customer Service Reviews of www.vodafone.co.nz | 17 of 32,Peter,https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg,"We shut down our accounts with Vodafone about one year ago and ever since we have been getting charged an administration fee"" on a emailed CREDIT BALANCE. This has cost us approximately $25.00! Repeated contacts have failed to rectify the situation.""",Date of experience: 25 June 2020,
https://nz.trustpilot.com/review/www.vodafone.co.nz?page=18,Vodafone Reviews | Read Customer Service Reviews of www.vodafone.co.nz | 18 of 32,Alex,https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg,Customer service was appalling. 2 of the staff I spoke to (with Indian accents) were rude. Please get your personnel trained regarding standard customer service.,Date of experience: 22 May 2020,
https://nz.trustpilot.com/review/www.vodafone.co.nz?page=19,Vodafone Reviews | Read Customer Service Reviews of www.vodafone.co.nz | 19 of 32,sam pal,https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg,The wise internet provider beware. I have been with Vodafone for 28 years. They are money grabber with no service provider.  Dont get confused with fancy ads. The government is also a pussy and corporate puppet. Vodafone have no real technicians or people that know what they do. An outsourced brand with monopoly with chorus. They use another service for other service and other service making you confused. All of them are a way of part of legal corruption and confusion of customers. They have no other mission rather than pocketing money. I had internet interpretation every minute during Covit 19. The excuse was Covit 19 for Vodafone.  Non of thier staff work on the field so why they are part of Covit 19 shut down or reduced service?  Are they health workers? No. So shame on you Vodafone,Date of experience: 02 April 2020,
https://nz.trustpilot.com/review/www.vodafone.co.nz?page=20,Vodafone Reviews | Read Customer Service Reviews of www.vodafone.co.nz | 20 of 32,Francesca,https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg,"Zero costumer support. After one year of constant chasing to solve a simple problem now it has been 4 months that I cannot manage to cancel my account! They don't pick up the phone and when they do they keep you at the phone for an hour, often the communication gets cut and still do not solve the problem. I still receive bills even though I moved to another company and I have contact them 3 times to beg them to close my account! These guys are still asking for money and I feel so powerless because there is literally no one that can help, no costumer support. Please do not join Vodafone, ever.",Date of experience: 09 February 2020,
