Position,review_date,Name_and_Rating,review_content,company_rating,total_reviews,company_image,review_name,review_rating
1,6-Aug-23,Sherilyn and John Bright  10.0,Fabulous service. Very friendly service. Always fixed what was wrong immediately.,8.1,405 reviews,https://cdn.broadbandcompare.co.nz/uploads/web/logo/2021/11/10/1/M.png,Sherilyn and John Bright,10
2,4-Aug-23,RAY  7.0,MY BROADBAND IS NOW ALMOST $90 SO I'M LOOKING ELSEWHERE FOR ANOTHER DEAL BUNDLED WITH POWER,5.8,274 reviews,https://cdn.broadbandcompare.co.nz/uploads/web/logo/1/28_med_slingshot140x140.png,RAY,7
3,4-Aug-23,Shannon  2.2,Its like they closed up shop and disappeared,5.6,189 reviews,https://cdn.broadbandcompare.co.nz/uploads/web/logo/1/24_med_orcon140x140.png,Shannon,2.2
4,3-Aug-23,Matilda  10.0,Outstanding % service ❤️✔️,8.1,405 reviews,https://cdn.broadbandcompare.co.nz/uploads/web/logo/2021/11/10/1/M.png,Matilda,10
5,2-Aug-23,Daniel  10.0,"Have not found anything wrong with NOW at all, super quick and easy to deal with and always glad to help in any way they can.",8.1,405 reviews,https://cdn.broadbandcompare.co.nz/uploads/web/logo/2021/11/10/1/M.png,Daniel,10
6,1-Aug-23,Peter  9.2,I really like the fact i can talk to someone quickly to resolve my problem and both times i contacted these guys they have been there. Your team stand out from the crowd of other service providers so please don't change your culture and thanks again for valuing me as a customer!,8.1,405 reviews,https://cdn.broadbandcompare.co.nz/uploads/web/logo/2021/11/10/1/M.png,Peter,9.2
7,31-Jul-23,TJ  8.8,"Considered switching to Spark but they have an offshore call center who were completely useless. NOW have local people, quick to respond and efficient at making it happen.",8.1,405 reviews,https://cdn.broadbandcompare.co.nz/uploads/web/logo/2021/11/10/1/M.png,TJ,8.8
8,28-Jul-23,Roy Boston  8.6,"Excellent service with a great call centre that responds rapidly, provides excellent advice and does what it says it will do, on time and without fuss.",8.1,405 reviews,https://cdn.broadbandcompare.co.nz/uploads/web/logo/2021/11/10/1/M.png,Roy Boston,8.6
9,27-Jul-23,Ashleigh Bryant  10.0,"Awesome customer service
Quick set up not too tricky
Sent instructions with photos aswell as talking to me over phone
Connection speed is good
No lagging devices
Good marketing initiative with the 6month discount wen signing up to 12 month contract
Great",8.1,405 reviews,https://cdn.broadbandcompare.co.nz/uploads/web/logo/2021/11/10/1/M.png,Ashleigh Bryant,10
10,26-Jul-23,Jamie  9.0,"We recently swapped to NOW after a bit of a lack of support from a previous provider. The transition was amazingly simple and given I am not at all technically minded, I certainly appreciated the extremely patient and helpful technician who was able to talk me through getting connected. As soon as we were up and running, I was able to reconnect everything to the new modem with unexpected ease! Cant rate them high enough!",8.1,405 reviews,https://cdn.broadbandcompare.co.nz/uploads/web/logo/2021/11/10/1/M.png,Jamie,9
