source page,source page title,review_date,name_and_rating,review_content
https://www.broadbandcompare.co.nz/b/spark?section=reviews&sub3=top-menu-4-2,Spark Broadband - Compare Internet Deals and Plans,    2023-07-07 17:38:23,    Hilal        2.0,            Spark is a company that doesn’t give their customers the best bang for their buck. They rip customers off. I don’t recommend them at all.     
https://www.broadbandcompare.co.nz/b/spark?section=reviews&sub3=top-menu-4-2&page_r=2&per-page=5,Spark Broadband - Compare Internet Deals and Plans,    2021-11-28 13:31:12,    Jacqueline Crothers        6.8,            Need a change.    
https://www.broadbandcompare.co.nz/b/spark?section=reviews&sub3=top-menu-4-2&page_r=3&per-page=5,Spark Broadband - Compare Internet Deals and Plans,    2021-10-28 08:11:36,    Bruce Woods        3.8,"            We have been with this company for a long time. 
We changed providors as our monthly bill became huge  the company  does  not give any notice or warnings, they simply rip consumers off. Especially if you are elderly and not technically inclined. Frankly the indudtry should be regulated to prevent this kind of greedy behaviour.

    "
https://www.broadbandcompare.co.nz/b/spark?section=reviews&sub3=top-menu-4-2&page_r=4&per-page=5,Spark Broadband - Compare Internet Deals and Plans,    2021-09-11 19:42:36,    Derek Drysdale        7.2,"            Spark were good on reliability, but a bit pricey.    "
https://www.broadbandcompare.co.nz/b/spark?section=reviews&sub3=top-menu-4-2&page_r=5&per-page=5,Spark Broadband - Compare Internet Deals and Plans,    2021-08-18 16:48:50,    Marie Cloete        8.8,"            Been a customer for approximately four years and service was always excellent, and easy to get hold of and to resolve queries. Changing purely for Financial reasons. Had to reduce work hours due to ill health and income reduced to suit hours    "
https://www.broadbandcompare.co.nz/b/spark?section=reviews&sub3=top-menu-4-2&page_r=6&per-page=5,Spark Broadband - Compare Internet Deals and Plans,    2021-06-30 07:46:54,    Joanne Wright        4.2,            With them for many years. Unhelpful and not considerate of our situation or assist in helping find a positive solution     
https://www.broadbandcompare.co.nz/b/spark?section=reviews&sub3=top-menu-4-2&page_r=7&per-page=5,Spark Broadband - Compare Internet Deals and Plans,    2021-06-05 14:51:41,    Andrew Jackson        7.0,"            Never needed to contact support so no issues there, a good basic broadband provider and reliable service but a little over priced compared to other providers.    "
https://www.broadbandcompare.co.nz/b/spark?section=reviews&sub3=top-menu-4-2&page_r=8&per-page=5,Spark Broadband - Compare Internet Deals and Plans,    2021-04-23 17:52:47,    Richard Brodie        7.4,            In this age they are just to expensive    
https://www.broadbandcompare.co.nz/b/spark?section=reviews&sub3=top-menu-4-2&page_r=9&per-page=5,Spark Broadband - Compare Internet Deals and Plans,    2021-02-27 21:20:49,    Paul Savell        9.4,"            Excellent company to deal with - free fibre connection, anti virus for PC , good connection speed - too expensive     "
https://www.broadbandcompare.co.nz/b/spark?section=reviews&sub3=top-menu-4-2&page_r=10&per-page=5,Spark Broadband - Compare Internet Deals and Plans,    2021-01-20 14:46:38,    Karene Clark        5.8,            Have been with Spark for decades and was a big decision to move from them for our broadband but price wise they don't compare to what's on offer elsewhere and they don't do anything special for their loyal customers    
https://www.broadbandcompare.co.nz/b/spark?section=reviews&sub3=top-menu-4-2&page_r=11&per-page=5,Spark Broadband - Compare Internet Deals and Plans,    2020-11-23 16:47:28,    Pam Smith        6.2,            Reasonably happy with Spark.  Can’t get fibre  in our road    
https://www.broadbandcompare.co.nz/b/spark?section=reviews&sub3=top-menu-4-2&page_r=12&per-page=5,Spark Broadband - Compare Internet Deals and Plans,    2020-10-21 10:58:31,    Kel        4.4,"            Terrible website to try to adjust plan. Easy to find upgrades but if you want to downgrade like loose landline impossible, in end easier to get risd of spark altogether    "
https://www.broadbandcompare.co.nz/b/spark?section=reviews&sub3=top-menu-4-2&page_r=13&per-page=5,Spark Broadband - Compare Internet Deals and Plans,    2020-09-17 21:15:29,    Lucia         8.0,"            I have used spark broadband with homeline for over 10 years. In the past, they have been able to offer discounted rates to existing customers when there were promotions for new customers. Unfortunately, this was not the case any more in the last couple of years and their contact centre or sales department stuffed up with a change I already said no to. This created unnecessary hussle for me. Besides, I feel the price is quite high compared with some other good providers.     "
https://www.broadbandcompare.co.nz/b/spark?section=reviews&sub3=top-menu-4-2&page_r=14&per-page=5,Spark Broadband - Compare Internet Deals and Plans,    2020-08-13 20:57:44,    Greg White        8.4,"            No complaints, shame their network hasn't reached rural areas yet!!!    "
https://www.broadbandcompare.co.nz/b/spark?section=reviews&sub3=top-menu-4-2&page_r=15&per-page=5,Spark Broadband - Compare Internet Deals and Plans,    2020-07-08 15:58:20,    Margaret Mann        6.4,"            Had no connection or reliability issues, just speed was too slow, had to turn off TV Netflix (through Vodafone TV) at times to download other files on laptop whilst working from home.    "
https://www.broadbandcompare.co.nz/b/spark?section=reviews&sub3=top-menu-4-2&page_r=16&per-page=5,Spark Broadband - Compare Internet Deals and Plans,    2020-06-16 20:14:22,    Chris Downs        5.4,"            Was ok, we only stayed for the free Lightbox. Now that they've taken that away and offered nothing to compensate we were motivated to move. Looked around and found a better deal with NOW    "
https://www.broadbandcompare.co.nz/b/spark?section=reviews&sub3=top-menu-4-2&page_r=17&per-page=5,Spark Broadband - Compare Internet Deals and Plans,    2020-06-04 16:08:03,    Mel        6.0,"            Okay company to deal with however, sometimes you didn't receive what you asked for and would have to follow up only to have Spark not backdate the request or fees (if it was their fault). They gave no incentive to stay when I came off contract, but seemed indifferent so I looked elsewhere and found someone who actually WANTED the customer's business.     "
https://www.broadbandcompare.co.nz/b/spark?section=reviews&sub3=top-menu-4-2&page_r=18&per-page=5,Spark Broadband - Compare Internet Deals and Plans,    2020-04-05 16:17:46,    Leighton        6.8,            Spark is uncompetitive and wasn't willing to match its competitor so I moved    
